"","score","text"
"15",-1,"See people reacting to note ban of last year and events ,comments on demonetsation from opposition parties have str… https://t.co/wjtoipakcE"
"16",0,"#Cash_<U+091A><U+094B><U+0930>_<U+0938><U+0930><U+0915><U+093E><U+0930> #Cash_<U+091A><U+094B><U+0930>_<U+0938><U+0930><U+0915><U+093E><U+0930>
#Cash_<U+091A><U+094B><U+0930>_<U+0938><U+0930><U+0915><U+093E><U+0930> #Cash_<U+091A><U+094B><U+0930>_<U+0938><U+0930><U+0915><U+093E><U+0930>

https://t.co/6TjtVJODs0

<U+0936><U+0930><U+094D><U+092E> <U+0909><U+0928><U+0915><U+094B> <U+092E><U+0917><U+0930> <U+0928><U+0939><U+0940><U+0902> <U+0906><U+0924><U+0940> 
@Shehla_Rashid"
"17",0,"RT @ieexplained: #ExpressExplained | How have prices of agricultural commodities moved post demonetisation? https://t.co/30FtIz3Glp"
"18",1,"@arvindgunasekar @k_satyarthi also says trafficking has come down due to note ban, i think. That's probably the only positive."
"19",0,"RT @scroll_in: #DemonetisationAnniversary: In India’s cash-driven economy, note ban cure was worse than the disease https://t.co/gL7nqwKO9i…"
"20",1,"R Gandhi, Former Deputy Guv, #RBI says those who have opposed note ban have not given alternatives for a clean syst… https://t.co/Rokq1dNWAI"
"21",-1,"RT @RituRathaur: Arun Jaitley thrashes Manmohan Singh for calling note ban 'organised loot' 
<ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>
 https://t.co/L4Ys5sG9L5 via"
"22",1,"@Archnaaaa news channels found out and asked him his views, he is praising note ban<ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+009C>"
"23",0,"RT @Chopsyturvey: 1 lakh entities may get tax notices over huge cash deposits in banks https://t.co/qHJ12HlH5u"
"24",0,"Big victory in fight against J&amp;K terror funding; NIA seizes Rs 36.34 cr of demonetised notes on eve of note ban ann… https://t.co/tDWIKM0euN"
"25",0,"<U+0CA8><U+0CCB><U+0C9F><U+0CC1> <U+0CAC><U+0CCD><U+0CAF><U+0CBE><U+0CA8><U+0CCD><U+200C> <U+0CAC><U+0CA1><U+0CB5><U+0CB0><U+0CBF><U+0C97><U+0CC6> <U+0CAE><U+0CBE><U+0CA1><U+0CBF><U+0CA6> <U+0CAE><U+0CB9><U+0CBE><U+0CA8><U+0CCD><U+200C> <U+0CA6><U+0CCD><U+0CB0><U+0CCB><U+0CB9>: <U+0CB8><U+0CBF><U+0CA6><U+0CCD><U+0CA6><U+0CB0><U+0CBE><U+0CAE><U+0CAF><U+0CCD><U+0CAF>
   #Siddaramaiah https://t.co/Z2wj9fyj3f"
"26",0,"RT @SirJadeja: It's Been A Year. How Do You See #Demonetisation ?

#AntiBlackMoneyDay #NoteBan #Demonetization"
"27",0,"RT @scroll_in: #Demonetisation and GST are the chief talking points in the ongoing election campaign in Gujarat https://t.co/jg8XsDFXSC"
"28",-1,"Note ban: Illegal assets vault to private lockers - The Times of India on Mobile https://t.co/7ULvRBcyab"
"29",0,"No Proof Required: Demonetisation and its contents
https://t.co/BOdzDNLIfM https://t.co/oF1rTgiLOe"
"30",0,"RT @vin8737: <U+092E><U+094B><U+0926><U+0940> <U+091C><U+0940> <U+0928><U+0947> <U+0938><U+0939><U+0940> <U+0915><U+0939><U+093E> <U+0925><U+093E> <U+0915><U+093F> <U+092F><U+0947> <U+0926><U+0935><U+093E> <U+0915><U+0921><U+093C><U+0935><U+0940> <U+0939><U+0948> <U+092A><U+0930> <U+0905><U+0938><U+0930><U+0926><U+093E><U+0930> <U+0939><U+0948> , <U+092A><U+0930> <U+0907><U+0924><U+0928><U+0940> <U+0905><U+0938><U+0930><U+0926><U+093E><U+0930> <U+0939><U+0948> <U+0915><U+093F> <U+0917><U+0942><U+0902><U+0917><U+093E> <U+092D><U+0940> <U+092C><U+094B><U+0932><U+0928><U+0947> <U+0932><U+0917><U+0947> <U+092F><U+0947> <U+0928> <U+0938><U+094B><U+091A><U+093E> <U+0925><U+093E> <ed><U+00A0><U+00BD><ed><U+00B8><U+009D><ed><U+00A0><U+00BD><ed><U+00B8><U+009D>
#AntiBlackMone…"
"31",-3,"India touts bank note ban, opposition fumes and Nepal short-changed https://t.co/qpV7tgn0uM https://t.co/mA1ywdEqVQ"
"32",2,"#HBDNoteban note ban is very good decision make pm @narendramodi we always support for this decision..."
"33",0,"Prakash Raj wants apology for note ban - https://t.co/JNUpcapUOP via @PinkvillaSouth #PrakashRaj"
"34",0,"@IndianExpress Mr.Irani many handloom weavers suffered because of note ban...as a textile minister please have empathy than trolling gandis"
"35",-2,"@otvnews DEMONITISATION IS A DISASTER
In a severe jolt to the Modi sarkar’s tall claims that last year’s note ban h… https://t.co/5TYhgdkl4I"
"36",0,"RT @maulinshah9: #Demonetisation reduced a number of jobs in the short to medium term. But it had  a long term -ve impact on jobs. Let's ch…"
"37",-1,"#Notebandi that shook the nation was fatal to dalits,hundreds of dalits lost their lives due to note ban.My sincere… https://t.co/0Avp0Ed2i3"
"38",4,"RT @bhatia_niraj23: Only &amp; Only A Happy Normally Led Life By Commoners Got Disrupted .. With Zero Achievements Through Note Ban .. Rightly…"
"39",0,"RT @timesofindia: Only ruling party at Centre benefited from note ban: @MamataOfficial  https://t.co/eeZcY4jkly https://t.co/CEvxiLGoAr"
"40",0,"@RBI @ShereenBhan #CNBCTV18Exclusive | R Gandhi, Former Deputy Guv, RBI says those who have opposed note ban have n… https://t.co/fffBdSGp2C"
"41",-1,"RT @sonaliranade: A survey by the country’s largest organisation of manufacturers has found job losses to the tune of 35% to 55% https://t.…"
"42",-1,"RT @mazhar_jafri: Note ban, GST have broken textile hub Surat’s legs: Rahul Gandhi via @htTweets https://t.co/IVKy9nZTps @INCGujarat @WithC…"
"43",1,"Demonetisation: How Paytm gained from note ban and why it used PM Modi's pic in ads
https://t.co/D13WGQdQUG"
"44",0,"RT @ZeeNewsHindi: <U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940> <U+0938><U+0947> <U+0915><U+0947><U+0935><U+0932> <U+0926><U+0941><U+0916> <U+092E><U+093F><U+0932><U+093E> <U+0914><U+0930> <U+0915><U+094B><U+0908> <U+092B><U+093E><U+092F><U+0926><U+093E> <U+0939><U+093E><U+0938><U+093F><U+0932> <U+0928><U+0939><U+0940><U+0902> <U+0939><U+0941><U+0906>: @ShashiTharoor

https://t.co/0j9i477DVo"
"45",0,"https://t.co/fvNDuy53K9"
"46",-1,"RT @INCTelangana: ‘Autocrat' Modi ruined India's booming economy: Rahul Gandhi
#BjpMoneyLaunderingDay 
https://t.co/LroTtjLeFm"
"47",-1,"RT @divyaspandana: Demonetisation was futile, turned into a money-laundering operation: Jean Dreze #BjpMoneyLaunderingDay  https://t.co/RiT…"
"48",0,"<U+0915><U+0936><U+094D><U+092E><U+0940><U+0930> <U+091F><U+0947><U+0930><U+0930> <U+092B><U+0902><U+0921><U+093F><U+0902><U+0917> <U+092A><U+0930> <U+092C><U+0921><U+093C><U+0940> <U+091C><U+0940><U+0924>: <U+090F><U+0928><U+0906><U+0908><U+090F> <U+0928><U+0947> 36.34 <U+0915><U+0930><U+094B><U+0921><U+093C> <U+0915><U+0940> <U+092A><U+0941><U+0930><U+093E><U+0928><U+0940> <U+0915><U+0930><U+0947><U+0902><U+0938><U+0940> <U+091C><U+092C><U+094D><U+0924> <U+0915><U+0940>
https://t.co/Ti6UVfj5EZ via NMApp https://t.co/zAzxam3Cbs"
"49",-1,"RT @MuzzammilAap: Bundelkhand farmers:We survived successive droughts, but Modi's Noteban has broken our backs &amp; rendered us destitute
http…"
"50",1,"RT @kaushikcbasu: Do read for he is one of the most rare politicians anywhere in terms of integrity and decency. https://t.co/f8aqMY2xwX"
"51",-3,"RT @jspandey_: shame on those,who presided 10yrs of loot regime,were sleeping when loot took place,suddenly woke up
@narendramodi 
https://…"
"52",0,"RT @DigitalAtheist_: <U+0917><U+0941><U+091C><U+0930><U+093E><U+0924> <U+092E><U+0947><U+0902> <U+092C><U+094B><U+0932><U+0947> <U+092E><U+0928><U+092E><U+094B><U+0939><U+0928> <U+0938><U+093F><U+0902><U+0939>: <U+0915><U+093E><U+0928><U+0942><U+0928><U+0940> <U+0921><U+0915><U+0948><U+0924><U+0940> <U+0925><U+0940> <U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940>, <U+092D><U+093E><U+0930><U+0924> <U+0915><U+0947> <U+092C><U+091C><U+093E><U+092F> <U+091A><U+0940><U+0928> <U+0915><U+094B> <U+0939><U+0941><U+0906> <U+092B><U+093E><U+092F><U+0926><U+093E>
https://t.co/qXJA2kgck6
#Demonetis…"
"53",-1,"RT @FinMinIndShadow: Survey by largest org of manufacturers found job losses of up to 35% to 55% among trader &amp;MSME after #Demonetisation
h…"
"54",0,"RT @aajtak: <U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940> <U+0915><U+0947> <U+090F><U+0915> <U+0938><U+093E><U+0932> <U+0939><U+094B><U+0928><U+0947> <U+092A><U+0930> <U+0932><U+093E><U+0932><U+0942> <U+092F><U+093E><U+0926><U+0935> <U+0928><U+0947> <U+0915><U+094D><U+092F><U+093E> <U+0915><U+0939><U+093E>?
https://t.co/Cp2WHIyQNU"
"55",0,"RT @AnthonySald: @ahmedpatel @Arunjaitley attempt to answer Nation awaits
One year of #demonetisation: 5 questions #Modi government must an…"
"56",0,"RT @narendramodi_in: <U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940> <U+0915><U+0940> <U+092A><U+0939><U+0932><U+0940> <U+0935><U+0930><U+094D><U+0937><U+0917><U+093E><U+0902><U+0920>: <U+092C><U+0948><U+0902><U+0915><U+0930><U+094B><U+0902> <U+0928><U+0947> <U+092C><U+0924><U+093E><U+092F><U+093E> <U+0907><U+0938><U+0947> <U+092C><U+0948><U+0902><U+0915> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0932><U+093E><U+092D><U+0915><U+093E><U+0930><U+0940>
https://t.co/qtQe7h8lTn via NMApp https://t.co/boCH…"
"57",0,"Here's how #RBI managed #demonetisation after one year of note ban: &gt; https://t.co/c1REYB1x4p https://t.co/c6hY6rbQea"
"58",0,"RT @MH_pyc: BJP Bought Land in Bihar Before Note Ban
#<U+092D><U+0941><U+0917><U+0924>_<U+0930><U+0939><U+093E>_<U+0939><U+0948>_<U+0926><U+0947><U+0936>
https://t.co/n5QiLJ3H1P"
"59",-1,"RT @girishalva: ""Modiji Stood Strong""

Many countries had to role back Note Ban as they couldn't stand against the corrupt who opposed it!…"
"60",0,"Demonetisation a watershed moment in Indian history: Jaitley on note ban anniversary https://t.co/vsfzYZqVWZ"
"61",-1,"Income tax dept to issue 100,000 notices for huge deposits after note ban https://t.co/xxfo9zgtUI"
"62",0,"RT @the_free_indian: Glorious tales of humanity-
Those who lost job post note ban lacked skill, did not change with times: Ravi Shankar Pra…"
"63",0,"RT @hemantathalye: <U+0928><U+094B><U+091F><U+093E><U+092C><U+0902><U+0926><U+0940> <U+0928><U+0902><U+0924><U+0930> <U+0921><U+093F><U+091C><U+093F><U+091F><U+0932> <U+0935><U+094D><U+092F><U+0935><U+0939><U+093E><U+0930><U+093E><U+0924> <U+0915><U+094B><U+0923><U+0924><U+093E><U+0939><U+0940> <U+0935><U+093E><U+0922> <U+0928><U+093E><U+0939><U+0940>! #<U+0928><U+094B><U+091F><U+093E><U+092C><U+0902><U+0926><U+0940> #<U+092E>
https://t.co/cIeyTZvZe0"
"64",0,"<U+0915><U+094D><U+092F><U+093E> <U+0925><U+093E> <U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940> <U+0915><U+093E> <U+0905><U+0938><U+0932><U+0940> <U+092E><U+0915><U+0938><U+0926> <U+091C><U+093E><U+0928><U+0928><U+0947> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0938><U+0902><U+0938><U+0926><U+0940><U+092F> <U+0938><U+092E><U+093F><U+0924><U+093F> <U+0915><U+0930><U+0947> <U+091C><U+093E><U+0902><U+091A> - <U+091A><U+0935><U+094D><U+0939><U+093E><U+0923> - https://t.co/MtiJobuaFI https://t.co/Mmb0KwXg5z"
"65",-1,"RT @the_free_indian: Note Ban Deaths: Pain is Anything But Short-Term For The Families (video)
https://t.co/bXFz7IxGat"
"66",0,"RT @FinancialXpress: Major embarrassment for #RahulGandhi! #NandLal, face of #demonetisation, says note ban actually helped https://t.co/Rk…"
"67",0,"<U+0C28><U+0C4B><U+0C1F><U+0C4D><U+0C32> <U+0C30><U+0C26><U+0C4D><U+0C26><U+0C41><U+0C2A><U+0C48> <U+0C2A><U+0C4D><U+0C30><U+0C15><U+0C3E><U+0C37><U+0C4D><U+200C><U+0C30><U+0C3E><U+0C1C><U+0C4D><U+200C> <U+0C38><U+0C02><U+0C1A><U+0C32><U+0C28> <U+0C35><U+0C4D><U+0C2F><U+0C3E><U+0C16><U+0C4D><U+0C2F> https://t.co/zJ99fVkmtl"
"68",0,"RT @idiptim: @Hifundam @kriratna @iesske @sudhir94700 Note Ban is Largest Money Laundering Scheme Ever. : Arun Shourie
#DemonetisationAnniv…"
"69",-1,"RT @India_Resists: What happened in first 2 months of note ban alone was an unforgivable catastrophe: Jean Dreze https://t.co/KeDYk02Bk6"
"70",0,"RT @priyaakulkarni2: Note ban breaks the backbone of  trafficking industry https://t.co/bPjDspo3OQ"
"71",0,"Coming up at 9:00 PM: D-DAY The Definitive #Demonetisation Verdict | The Biggest Voices On Note Ban @arunjaitley,… https://t.co/LNqSRIj0mt"
"72",1,"#Demonetisation: #Twitterati Celebrate Note Ban With Memes

#middaynews
#8thNovember

https://t.co/BvlYXqPN8i https://t.co/bsVxXOAB4a"
"73",0,"ETRetail | Rise in digital transactions, tax payers post note ban: Nitin Gadkari https://t.co/vd4Fy55fWo"
"74",0,"#ExpressExplained | How have prices of agricultural commodities moved post demonetisation? https://t.co/30FtIz3Glp"
"75",1,"RT @Office_of_BSY: Karnataka gives Thums Up to DeMo decision.Hails PM @narendramodi as a Hero. Say note ban decision historic: Survey by @k…"
"76",0,"<U+0C28><U+0C4B><U+0C1F><U+0C4D><U+0C32> <U+0C30><U+0C26><U+0C4D><U+0C26><U+0C41><U+0C2A><U+0C48> <U+0C2A><U+0C4D><U+0C30><U+0C15><U+0C3E><U+0C37><U+0C4D><U+200C><U+0C30><U+0C3E><U+0C1C><U+0C4D><U+200C> <U+0C38><U+0C02><U+0C1A><U+0C32><U+0C28> <U+0C35><U+0C4D><U+0C2F><U+0C3E><U+0C16><U+0C4D><U+0C2F>
https://t.co/bYiX4m879K
#noteban #PrakashRaj https://t.co/FQ0XGycTJQ"
"77",0,"RT @PervezM: @sabaowaisi @ShashiTharoor Modi Minister Ravi Shankar Prasad: Flesh trade hit by demonetisation.
Truth: Teenu Jain, Neeraj Sha…"
"78",-1,"RT @chigare74: Wt happened in first 2 months of note ban alone was an unforgivable catastrophe: Jean Dreze https://t.co/qbRzJfCK5E that’s #…"
"79",0,"RT @ArunSFan: Gujarati Bizmen Knew of Note Ban in Advance: Ex-BJP MLA Yatin Oza - The Quint https://t.co/S9AWLqN8pi"
"80",0,"RT @INCIndia: If there were other objectives let PM spell them out, or accept demonetisation was a blunder
#BJPMoneyLaunderingDay 
https://…"
"81",0,"RT @naradanews: <U+0D0A><U+0D30><U+0D3E><U+0D33><U+0D3F> '<U+0D28><U+0D4B><U+0D1F><U+0D4D><U+0D1F><U+0D4D> <U+0D15><U+0D4A><U+0D1F><U+0D4D><U+0D1F><U+0D4D>' <U+0D35><U+0D40><U+0D21><U+0D3F><U+0D2F><U+0D4B> <U+0D15><U+0D3E><U+0D23><U+0D3E><U+0D24><U+0D46> <U+0D2A><U+0D4B><U+0D2F><U+0D3F>: <U+0D31><U+0D3F><U+0D2A><U+0D4D><U+0D2A><U+0D4B><U+0D7C><U+0D1F><U+0D4D><U+0D1F><U+0D4D> <U+0D1A><U+0D46><U+0D2F><U+0D4D><U+0D24><U+0D4D> <U+0D28><U+0D40><U+0D15><U+0D4D><U+0D15><U+0D02> <U+0D1A><U+0D46><U+0D2F><U+0D4D><U+0D2F><U+0D3F><U+0D2A><U+0D4D><U+0D2A><U+0D3F><U+0D1A><U+0D4D><U+0D1A><U+0D35><U+0D7C> <U+0D15><U+0D3E><U+0D23><U+0D41><U+0D15>; <U+0D07><U+0D24><U+0D3E><U+0D23><U+0D4D> <U+0D35><U+0D40><U+0D21><U+0D3F><U+0D2F><U+0D4B> https://t.co/pUHYKN…"
"82",1,"Some analysts are using innovative technology to measure the impact of #India's demonetization decision, one year l… https://t.co/MKx4yxC2RP"
"83",1,"@Ban_Pres_Bannon @RepAlGreen @cspan Haha I have @cspan open on my phone at the moment as well! 
Side Note... When I… https://t.co/akjJtxFFAo"
"84",0,"<U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940> <U+0915><U+094B> <U+0907><U+0938> <U+0905><U+092D><U+093F><U+0928><U+0947><U+0924><U+093E> <U+0928><U+0947> <U+092C><U+0924><U+093E><U+092F><U+093E> <U+0915><U+0947><U+0902><U+0926><U+094D><U+0930> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0915><U+0940> <U+0938><U+092C><U+0938><U+0947> <U+092C><U+0921><U+093C><U+0940> <U+092D><U+0942><U+0932>, <U+0915><U+0939><U+093E>- <U+092E><U+093E><U+092B><U+0940> <U+092E><U+093E><U+0902><U+0917><U+0947> https://t.co/qGlGvIVQKG via @NDTVIndia"
"85",0,"Finance Ministry (@FinMinIndia) officials to brief Parliamentary panel on #demonetisation tomorrow.… https://t.co/ScP2ObskPx"
"86",-1,"India's note ban still causing pain one year on https://t.co/3LGCPN3Xb4 https://t.co/tcfjSdT9Eq"
"87",0,"Big victory in fight against J&amp;K terror funding; NIA seizes Rs 36.34 cr of demonetised notes on eve of note ban ann… https://t.co/cTRWmUwyFG"
"88",2,"Congress knows best ‘how to gain’. Wouldn’t have done it - Note ban has been all pain and no gain: @ShashiTharoor  
https://t.co/G4H8TIpzTo"
"89",0,"Note ban hit realty sector hard, made it transparent: Experts: PTICity: New DelhiHousing sales .. #finance #news https://t.co/mAGoOafuNK"
"90",0,"RT @iSushilPandey: Big victory in fight against J&amp;K terror funding; NIA seizes Rs 36.34 cr of demonetised notes on eve of note ban annivers…"
"91",0,"RT @romandsouza: Why not Demonetisation once again? 
#<U+092D><U+0941><U+0917><U+0924>_<U+0930><U+0939><U+093E>_<U+0939><U+0948>_<U+0926><U+0947><U+0936> 
 https://t.co/H8CZSUjHGr"
"92",-2,"#<U+092D><U+0941><U+0917><U+0924>_<U+0930><U+0939><U+093E>_<U+0939><U+0948>_<U+0926><U+0947><U+0936> Will pm modi saying yes i m wrong because corruption is not end after note ban #KillerNiteBab"
"93",0,"#Demonetisation 
<U+0915><U+093E><U+0933><U+093E> <U+092A><U+0948><U+0938><U+093E> <U+0935><U+093F><U+0930><U+094B><U+0927><U+0940> <U+0926><U+093F><U+0935><U+0938> <U+0915><U+0940> <U+0915><U+093E><U+0933><U+093E> <U+0926><U+093F><U+0935><U+0938>...&gt;https://t.co/RoRedf2Z0R &lt;...<U+0935><U+093E><U+091A><U+093E>  <U+0915><U+094B><U+0923>? <U+0915><U+093E><U+092F>? <U+092E><U+094D><U+200D><U+0939><U+0923><U+093E><U+0932><U+0947> https://t.co/C5HjiA79Fu"
"94",0,"#AntiBlackMoneyDay 
@OfficeOfRG <U+0938><U+092E><U+0947><U+0924> <U+0938><U+092E><U+0942><U+091A><U+093E> <U+0935><U+093F><U+092A><U+0915><U+094D><U+0937> <U+0928><U+0902><U+0926><U+0932><U+093E><U+0932> <U+091C><U+0940> <U+0915><U+0940> <U+0924><U+0938><U+094D><U+0935><U+0940><U+0930> <U+0926><U+093F><U+0916><U+093E><U+0915><U+0930> <U+0928><U+094B><U+091F><U+092C><U+0928><U+094D><U+0926><U+0940> <U+0915><U+0947> <U+0935><U+093F><U+0930><U+094B><U+0927> <U+092E><U+0947><U+0902> <U+091F><U+094D><U+0935><U+0940><U+091F> <U+0915><U+093F><U+092F><U+093E> <U+0935><U+0939><U+0940>… https://t.co/dQJbe11M7X"
"95",0,"Demonetisation anniversary: A timeline of how note ban unfolded in the country https://t.co/MH7ahP25hJ"
"96",-2,"RT @VishalDadlani: Dear Mr. Prasad.

Stop defending the stupidest Economic move in recent history, with equally stupid statements. Apologis…"
"97",0,"RT @andymukherjee70: As if one bad idea wasn’t enough, here he goes again. https://t.co/yBas5cZRdz"
"98",0,"RT @nikhildubei: #<U+092D><U+0941><U+0917><U+0924>_<U+0930><U+0939><U+093E>_<U+0939><U+0948>_<U+0926><U+0947><U+0936>
Top finmin officials to brief par panel on note ban tomorrow"
"99",0,"RT @narendramodi_in: <U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940>: <U+0906><U+092F><U+0915><U+0930> <U+0935><U+093F><U+092D><U+093E><U+0917> <U+0928><U+0947> <U+0935><U+093F><U+0938><U+094D><U+0924><U+0943><U+0924> <U+091C><U+093E><U+0902><U+091A> <U+0915><U+0947> <U+0932><U+093F><U+090F> 20,572 <U+091F><U+0948><U+0915><U+094D><U+0938> <U+0930><U+093F><U+091F><U+0930><U+094D><U+0928><U+094D><U+0938> <U+0915><U+0940> <U+092A><U+0939><U+091A><U+093E><U+0928> <U+0915><U+0940>
https://t.co/wdw2XpsARo via NMApp https:/…"
"100",0,"Stood in the line? Check these memes out! https://t.co/UkSu54dGt5"
"101",1,"RT @satishacharya: Happy Birthday, Note ban! #cartoon #Demonetisation #Noteban https://t.co/TcMmIIQoTl"
"102",-1,"RT @IndianExpress: ""Rolling out GST after demonetisation was double selfish taxation for the people""
https://t.co/SLYYFXEeK6"
"103",0,"RT @TOIIndiaNews: Nitish Kumar congratulates Modi govt on 1st anniversary of note ban https://t.co/McdTjLjqCS"
"104",1,"Note ban led to 'India's highest ever unearthing of black money', says government - Times of India https://t.co/SUth43LcvV via @timesofindia"
"105",0,"RT @AskAnshul: Demonetisation breaks the backbone of Rs 20 trillion trafficking industry, India. #AntiBlackMoneyDay https://t.co/mXYppoRbQp"
"106",0,"RT @CNBCTV18News: 1 year after #Demonetisation, @Nigel__DSouza decodes how Indian markets have fared since the note ban @CNBCTV18Live https…"
"107",0,"RT @SitaramYechury: 35 to 55% jobs LOST after demonetisation, as per AIMO Survey. The promise was of 10 cr new jobs. #Jumlanomics. https://…"
"108",0,"Rahul Gandhi in FT op-ed: Note ban a thoughtless act, PM Modi robbed India of its economic prowess | #India #RTGWorld"
"109",1,"RT @Ram_Guha: ""Formalisation without preparation leads to exclusion"", writes @pbmehta in this brilliant demolition of Demonetization’s utop…"
"110",-1,"RT @waglenikhil: ‘Don’t know who benefited from note ban’, says the man who became the face of demonetisation misery https://t.co/tDxeJWoZi…"
"111",-1,"Wt happened in first 2 months of note ban alone was an unforgivable catastrophe: Jean Dreze https://t.co/qbRzJfCK5E that’s #ModiMadeDisaster"
"112",0,"<U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940> <U+0914><U+0930> <U+0907><U+0938><U+0915><U+0947> <U+0938><U+0915><U+093E><U+0930><U+093E><U+0924><U+094D><U+092E><U+0915> <U+092A><U+094D><U+0930><U+092D><U+093E><U+0935>
https://t.co/F57emfwHiW

via NMApp https://t.co/GzFtat1IB7"
"113",-1,"RT @PritishNandy: Demonetisation anniversary: Public support for note ban comes crashing down in absence of concrete outcomes https://t.co/…"
"114",0,"https://t.co/bdOPFFYGWG"
"115",1,"@Indianit07 both note. Ban&amp;gst will b good in long run"
"116",0,"RT @drmanojrajoria: <U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940> <U+0914><U+0930> <U+0907><U+0938><U+0915><U+0947> <U+0938><U+0915><U+093E><U+0930><U+093E><U+0924><U+094D><U+092E><U+0915> <U+092A><U+094D><U+0930><U+092D><U+093E><U+0935>
https://t.co/sV2kUjDZIZ"
"117",-1,"@pankhuripathak Come-on miss..Don't make wrong conclusion..I can understand that you could not benefitted from note… https://t.co/IECmtac17K"
